vehicle_id,vin,model,variant,battery_capacity_kwh,battery_chemistry,motor_power_kw,torque_nm,drive_type,body_type,segment,launch_year,max_ac_charging_kw,max_dc_charging_kw,claimed_range_km,expected_real_world_range_km,kerb_weight_kg,purchase_date,driver_profile,city_registered,city_registered_was_missing
1,MATT397RNW2D07001,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-07-08,Conservative Driver,Bengaluru,False
2,MATT4H7KT0TPB5002,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-05-03,Long Distance Traveller,Mumbai,False
3,MATT4UKTRHZCJU003,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2023-10-30,Highway Driver,Kolkata,False
4,MATT31792739LC004,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-08-29,City Driver,Delhi NCR,False
5,MATT4ML5R5CZMJ005,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-03-31,Highway Driver,Ahmedabad,False
6,MATT21A86YVAMD006,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2025-05-21,Long Distance Traveller,Pune,False
7,MATT4J8KWD7ZG3007,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2023-12-31,City Driver,Bengaluru,False
8,MATT3D2CZHZV0P008,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-05-31,Highway Driver,Pune,False
9,MATT43EEYV8G5X009,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-08-14,Aggressive Driver,Delhi NCR,False
10,MATT35SHSH0A0X010,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-06-30,Aggressive Driver,Ahmedabad,False
11,MATT1VY2G2SS4F011,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2024-12-27,Conservative Driver,Delhi NCR,False
12,MATT56HR6AZMEH012,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2025-10-15,City Driver,Delhi NCR,False
13,MATT1772L7WV27013,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2025-10-12,Highway Driver,Delhi NCR,False
14,MATT4JFST63EDF014,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-09-08,Highway Driver,Hyderabad,False
15,MATT7DBV86ED98015,Sierra.ev,RWD (63 kWh),63.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2026,7.2,120.0,565,450,1750,2026-08-31,Long Distance Traveller,Mumbai,False
16,MATT51ZUYXV5G7016,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2026-04-01,Conservative Driver,Bengaluru,False
17,MATT18SFDYZJP5017,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2024-03-23,City Driver,Surat,False
18,MATT3R1KGV5Y26018,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-05-20,Conservative Driver,Hyderabad,False
19,MATT4W8KLDKHX6019,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2022-03-17,Highway Driver,Delhi NCR,False
20,MATT19AR2FZZ27020,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2025-12-27,City Driver,Jaipur,False
21,MATT5C5UPLZM0T021,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2026-08-27,City Driver,Hyderabad,False
22,MATT633J8KP6L8022,Harrier.ev,RWD (65 kWh),65.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2025,7.2,100.0,538,400,1800,2026-08-26,Conservative Driver,Kolkata,False
23,MATT5D90SM8RJE023,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2026-08-20,City Driver,Bengaluru,False
24,MATT5JUK44AWTV024,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2026-06-04,Aggressive Driver,Delhi NCR,False
25,MATT4SWDL5XVZT025,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2025-07-09,Aggressive Driver,Bengaluru,False
